Region Name,Region ID,Size Rank,Zip Code,Second Zip Code,Third Zip Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,01/2021 - 07/2021
Fairfield,273668,10859,23223,None,None,66637,69057,66665,67672,64556,56464,58253,62891,62737,77118,94327,120025,110002,106905,97844,82960,67693,56121,51348,50733,52835,55302,71312,99239,118308,81740
Forest Hill Terrace,273754,10987,23225,None,None,75314,84317,92986,98079,109801,115384,126547,143292,163311,187664,210929,227901,220625,208509,206872,196288,190349,203969,208589,216639,230709,250742,268474,285620,298227,192312
Chippenham Forest,273242,11101,23225,None,None,106097,105534,106328,120426,126597,138104,140224,163500,181626,207604,236156,237243,226368,223937,214542,195694,198389,213574,213494,218084,226070,233714,245383,265700,282918,181569
Providence Park,275102,11123,23222,None,None,60879,72058,74762,79216,88790,85741,84524,84698,84560,92118,104890,116976,111404,91001,79101,62459,62051,60999,65627,60705,66272,75308,100922,129054,155698,102764
Forest Hill,276334,11249,23225,None,None,121665,118062,129686,142802,152593,165766,179288,194596,214869,246259,275049,287086,280435,268518,261147,247649,245146,262855,269145,280010,301104,315662,338168,354716,384202,239461
Chamberlayne Industrial Center,273210,11265,23222,23220,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54205,108526,113505,107187,101733,132687,172372,210082,133813
Creighton,273397,11265,23223,None,None,383587,456083,487012,490967,458692,438719,386484,370787,342681,362168,359659,393931,376485,330899,334449,338861,225700,169047,157200,154446,150729,127736,118240,147267,136378,81025
Westover Hills,248445,11346,23225,None,None,127064,141116,148037,159837,181358,192849,216559,239301,267368,301164,328477,341162,333630,311202,301855,290483,285080,311405,317691,326567,345126,358091,383129,404006,429331,269712
Swanson,275648,11385,23225,23224,None,86878,88199,91314,99999,104225,103348,106098,116830,126319,144499,167253,179042,172755,156940,147880,123525,112585,115761,118286,126609,133136,150139,160419,171374,184208,118869
Sauer's Gardens,275310,11393,23230,None,None,130397,133699,140065,155952,175476,191022,210539,233087,257799,286980,314669,327964,309102,288808,288629,284294,284195,296861,302111,311212,336521,358021,378770,405326,423945,266324
Stony Point,275595,11415,23235,None,None,151006,172839,170199,198132,229133,243392,270765,282460,313448,350564,371693,380298,365058,328868,320463,312383,302980,324706,331933,340468,349666,361950,368141,374417,389101,242771
Cottrell Farms,276276,11600,23234,None,None,70306,73635,80661,85068,90320,95789,101056,107139,115290,132844,154578,165491,157680,144700,135840,115375,99030,97911,94592,103079,116817,128009,138836,150311,163874,104191
Willow Lawn,276082,11661,23226,None,None,128876,125216,134278,149416,167236,183758,194756,215246,244882,275003,289460,301687,284192,267748,266713,259703,261182,277440,281559,292166,314775,333232,348917,368780,389005,244481
Stonewall Court,275593,11834,23226,None,None,260039,280288,308428,356700,407023,437211,470206,508249,548457,608362,661314,702868,677528,637387,616150,609613,610386,648872,665030,683829,703805,736363,770408,807785,840807,528440
Manchester,403132,12127,23224,None,None,39096,47422,60006,66671,70889,92809,108446,143039,154271,166931,184450,201643,208767,198064,189197,172828,167630,162420,164506,169029,181011,193385,211104,227478,241810,149689
John Marshall,274146,12285,23227,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102248,161421,177565,116251
Wilton,276094,12344,23226,None,None,351281,365021,398559,479449,570571,607815,669544,725098,791598,893282,965118,1022279,1003246,927537,895019,872691,873692,937920,943334,954612,1003541,1040690,1082789,1137382,1190197,745203
Belt Center,272935,12376,23224,None,None,51844,63544,63030,68999,75425,74534,69809,81294,84963,93582,107376,112658,115988,105844,106461,81137,85432,76923,81764,82464,77722,88260,97496,113206,142836,96669
Forest View,273762,12425,23225,None,None,62833,60281,65323,69908,75571,80778,80746,87963,100265,115653,140847,149822,143021,143792,135611,119194,106610,127303,125907,121377,126740,142203,154820,164259,178293,126264
Sherwood Park,275365,12449,23227,None,None,108311,108992,121860,133609,151050,160952,175493,195819,214894,245420,267324,272874,265423,255722,250759,236092,239104,254236,258024,267674,280878,307492,329321,342747,373434,235106
Central Office,273204,12480,23219,None,None,23371,163934,168135,165274,181392,162006,151799,157014,182084,258691,300793,304328,286014,269807,254325,240886,237295,250972,248136,253672,248907,253537,263957,264874,264888,165042
Rosedale,275249,12602,23227,None,None,89819,91477,95726,104934,112389,127981,141964,159310,172894,195310,217752,226491,215151,199582,192617,179746,183259,203488,199493,210123,222964,245712,263187,268857,281226,176082
Edgewood,273600,12620,23222,None,None,121556,121045,127535,137265,137023,137647,144686,157371,161750,183585,202146,225462,220349,192400,181583,165491,152425,122594,116960,122736,133250,148825,165197,185408,205282,143226
Peter Paul,275014,12669,23223,None,None,0,24103,52483,49549,52216,45885,47379,49600,51750,59107,69954,80786,71386,65147,68742,76042,72952,63740,49469,54049,52987,62936,83028,109083,120350,81828
Highland Terrace,274005,12710,23222,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53184,66139,70498,66839,71223,96645,135258,154584,183380,124386
Southern Barton Heights,275478,12742,23222,None,None,63978,54458,64654,69364,79317,82754,80110,87093,103263,132780,155455,164884,168354,154280,145725,135679,136314,130523,137772,141597,161189,179772,202172,222947,267536,173315
Woodville,276671,12746,23223,None,None,159342,144348,146548,151112,138552,134722,136194,133414,117947,121768,143154,160735,145904,119058,105910,99448,100255,85785,76264,82503,78151,83901,97534,125285,144709,93085
McGuire,274465,12865,23224,None,None,51203,55948,58574,61085,63521,66123,71338,74816,84422,95250,109593,119400,117875,107350,104884,85458,72501,80623,84122,88421,99776,115238,126048,133839,160134,104058
Brauers,273017,12865,23223,None,None,76239,60234,54612,67210,81704,69617,66615,65979,62671,70605,73469,82266,81230,67891,68340,64991,66979,64870,68617,68854,67190,77713,96162,123037,143076,98271
Willow Oaks,276083,12942,23225,None,None,138269,134148,140894,149149,162162,183996,199931,211972,234908,247660,280434,297715,285374,276480,267114,252197,246225,265312,266880,276969,296540,314239,331303,344812,366146,236605
Broad Rock,273045,12942,23224,None,None,70452,68118,66104,65386,69715,71349,66380,63106,73900,93593,106207,114066,109538,96131,75885,67008,53433,56496,61900,58049,66123,69797,89001,99296,121304,83361
Deerbourne,273449,13041,23234,None,None,97937,100740,110052,115118,122460,120442,133470,144818,144922,162436,188441,214058,203952,194749,188487,172114,168764,144774,144980,138873,132355,140034,134227,141628,152171,97369
Westover Hills West,276033,13067,23225,None,None,116802,116135,123111,127440,137486,148096,162404,179411,191677,212376,240180,255426,246763,227813,221524,208962,204661,223328,237632,243135,259678,274076,288068,304406,323452,206854
Green Park,273886,13164,23222,None,None,0,32834,57166,60610,66864,67325,68180,95119,105566,114331,116498,125673,116436,111542,103578,102146,95783,91829,86137,81322,80477,97277,116358,128881,162035,113288
Davee Gardens,273436,13191,23234,None,None,23297,52983,67989,77122,83120,79964,87831,86051,94726,101876,108168,117245,113956,90685,59745,53723,49765,36008,40955,36662,50540,70287,80019,81039,110472,72386
Hollywood Cemetery,276381,13307,23220,None,None,0,0,0,0,0,0,0,0,0,0,0,23003,272828,260725,253587,236706,240336,282652,272254,265167,290856,309230,335617,343038,356306,218882
Warwick,248278,13348,23225,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56437,133868,125861,106559,106680,115744,128630,139224,147506,158102,98503
Monument Avenue Park,276460,13364,23230,None,None,107698,104909,110837,125906,139073,149793,162094,179384,200945,226185,243606,257788,247482,237634,232385,222588,224060,232908,237970,250054,265672,288677,305597,322626,342931,219184
Washington Park,275928,13450,23222,None,None,219321,235269,235606,266065,266109,267797,295371,290637,290602,240531,261444,297171,273018,223150,201348,168191,149510,153342,138498,139480,128854,121878,117859,124787,154704,107388
Carillon,273136,13550,23221,None,None,124436,119782,124135,132055,150299,160182,181254,200643,222219,245595,275937,290751,276848,264603,257630,245287,248578,262719,267542,271239,284268,308392,328401,361139,390775,244711
Gravel Hill,243905,13588,23225,None,None,94482,95776,101918,106416,109786,116866,131017,142512,155452,168260,194678,207844,193802,187613,182960,169692,166659,178204,172379,166786,181044,196556,210271,218923,236708,156140
Fawnbrook,273710,13588,23224,None,None,104021,109797,113770,120157,124307,131247,122020,123998,130338,146128,163184,177681,169952,158331,145829,129370,122427,116179,129082,138465,144390,154061,170997,178300,196621,127637
Country Club of Virginia,273368,13613,23226,None,None,365947,365187,344984,378010,439787,498481,575606,610945,666598,775405,810634,838686,807411,773723,743448,729502,729797,765924,777928,807195,867433,878159,918819,958703,1021539,653264
Scott's Addition,275322,13696,23230,None,None,249404,199128,185540,215653,215344,228101,239368,241977,238657,226915,248073,254493,237161,207107,201387,183354,182295,184381,189946,203217,238793,236802,271730,321934,359168,225361
Brookbury,273060,13741,23234,None,None,132432,136239,146444,173918,173817,178477,160053,169693,183557,231257,255485,268993,255937,233063,218035,192389,164901,164274,172389,172512,187176,205996,232407,241001,258412,167137
Belmont Woods,272934,13769,23224,23234,None,91803,90276,104111,113618,119901,124785,114005,116552,129396,146381,161716,177880,171388,155691,149921,129310,124702,122213,130302,136354,142739,150620,168113,177865,199649,128930
Southampton,275466,14077,23235,None,None,126230,127101,137346,142782,157709,167538,180460,198922,217802,246083,275878,291943,271457,252460,241483,223748,217318,232284,234402,243822,255569,270339,288934,306109,323482,208859
City Center,273258,14227,23219,None,None,0,0,0,0,0,0,0,130032,200480,265487,340411,352460,347567,343440,322104,292429,240134,216166,203176,212441,212676,216434,229657,237234,238176,147435
Pocoshock,275060,14435,23225,None,None,50815,49819,51983,57361,59936,61541,64698,67006,72667,85735,97024,104960,109632,88809,90248,77790,76697,81723,86112,92564,100466,115389,123427,134152,150726,96272
Broad Rock Sports Complex,273047,14523,23224,None,None,0,0,0,0,0,0,0,0,0,147617,186488,206067,198530,189343,184850,161165,146271,145228,165722,173015,159692,169084,177281,191162,206556,129281
