Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
24087,4706.0,41.1,43142.0,22227.0,636.0,13.514662133446663
24089,2841.0,48.0,33984.0,16320.0,730.0,25.695177754311864
24128,1683.0,47.6,55481.0,32149.0,224.0,13.309566250742721
24151,19066.0,41.8,38887.0,22230.0,2835.0,14.869401028007973
24167,255.0,54.2,18083.0,36215.0,96.0,37.64705882352941
24171,7881.0,49.9,34048.0,21013.0,1544.0,19.591422408323815
24211,10503.0,46.4,50598.0,31817.0,858.0,8.16909454441588
24217,451.0,48.1,45147.0,20359.0,144.0,31.929046563192905
24219,11661.0,39.5,37258.0,18185.0,2517.0,21.58476974530486
24250,1395.0,38.1,46929.0,23113.0,144.0,10.32258064516129
24260,6103.0,45.3,30846.0,16550.0,1330.0,21.792561035556282
24263,6702.0,39.4,32312.0,16693.0,1642.0,24.500149209191285
24269,716.0,29.3,25250.0,10684.0,318.0,44.41340782122905
24127,4289.0,44.4,46134.0,21327.0,405.0,9.442760550244813
24133,2478.0,46.9,33005.0,18357.0,322.0,12.994350282485875
24011,231.0,26.9,75526.0,73952.0,23.0,9.956709956709958
24013,7762.0,36.9,30213.0,13797.0,2849.0,36.70445761401701
24556,3581.0,45.3,63629.0,27023.0,186.0,5.194079865959229
24432,308.0,53.1,60221.0,25184.0,0.0,0.0
24441,6994.0,38.1,44232.0,20668.0,918.0,13.125536173863312
24459,966.0,39.0,63125.0,28747.0,78.0,8.074534161490684
24467,2055.0,42.6,56667.0,33581.0,117.0,5.693430656934306
23696,3845.0,45.1,93854.0,39630.0,116.0,3.0169050715214563
23707,14694.0,33.6,42647.0,24360.0,2385.0,16.231114740710495
23821,1582.0,47.8,34663.0,18883.0,312.0,19.721871049304678
23827,1461.0,43.6,28266.0,16578.0,429.0,29.363449691991786
23830,1106.0,53.5,58825.0,27070.0,30.0,2.7124773960216997
23833,2501.0,41.9,53684.0,22613.0,287.0,11.475409836065573
23850,743.0,36.4,46364.0,21442.0,192.0,25.841184387617766
23851,13625.0,40.5,36584.0,20946.0,2363.0,17.343119266055044
23890,4697.0,43.0,38663.0,17402.0,857.0,18.245688737492017
23302,15.0,-666666666.0,-666666666.0,,0.0,0.0
23307,582.0,51.8,43611.0,23114.0,50.0,8.59106529209622
23336,2968.0,49.5,38036.0,28067.0,486.0,16.37466307277628
23150,12117.0,39.8,61273.0,26762.0,1361.0,11.232153173227697
23220,35002.0,25.3,32684.0,24057.0,11353.0,32.4352894120336
23222,25820.0,36.4,34234.0,18240.0,6390.0,24.74825716498838
23230,5360.0,42.0,53606.0,33550.0,433.0,8.078358208955224
23294,17222.0,30.6,52071.0,27235.0,1978.0,11.48530948786436
23301,1566.0,35.1,41944.0,23944.0,377.0,24.074074074074073
23321,35453.0,35.9,69876.0,30302.0,3092.0,8.721405804868418
23347,742.0,39.8,22500.0,19070.0,229.0,30.862533692722373
23409,5.0,-666666666.0,-666666666.0,,0.0,0.0
23417,3784.0,53.0,39189.0,26362.0,937.0,24.76215644820296
23960,2066.0,43.7,43438.0,17688.0,143.0,6.921587608906099
23962,345.0,56.5,30455.0,16539.0,97.0,28.115942028985508
23963,421.0,42.8,85045.0,22230.0,21.0,4.98812351543943
23079,599.0,26.7,78068.0,21266.0,92.0,15.358931552587647
23084,1508.0,49.7,59648.0,29369.0,155.0,10.278514588859416
23092,563.0,40.1,47244.0,22598.0,4.0,0.7104795737122558
23108,223.0,47.4,62917.0,30153.0,0.0,0.0
23115,243.0,25.8,33608.0,11996.0,0.0,0.0
23038,1437.0,47.9,50750.0,25763.0,285.0,19.832985386221296
23146,3107.0,47.0,77207.0,37414.0,182.0,5.857740585774058
23022,1418.0,29.6,50368.0,21542.0,213.0,15.021156558533145
23024,8090.0,46.3,49122.0,28241.0,699.0,8.640296662546353
23091,286.0,58.3,53750.0,22248.0,40.0,13.986013986013987
23103,4381.0,53.7,106750.0,67963.0,134.0,3.058662405843415
23109,2358.0,48.6,48984.0,30460.0,667.0,28.286683630195082
23110,846.0,49.7,55609.0,22974.0,201.0,23.75886524822695
23113,23811.0,46.0,110574.0,55819.0,907.0,3.809163831842426
23129,320.0,41.9,110517.0,42027.0,0.0,0.0
23188,39235.0,44.1,72070.0,36961.0,3256.0,8.298712883904678
23192,6382.0,47.5,71458.0,38256.0,279.0,4.371670322782827
23233,29081.0,38.7,91741.0,44702.0,1361.0,4.680031635775936
23234,42360.0,33.7,46279.0,21281.0,7201.0,16.999527856468365
23237,21807.0,36.9,54735.0,23503.0,2369.0,10.863484202320356
23303,890.0,52.1,47684.0,34976.0,41.0,4.606741573033708
23011,1751.0,43.2,57188.0,26493.0,7.0,0.3997715591090805
